timestamp,voltage,current,power_w,energy_wh,cost_rs,alert
2026-06-11 02:53:01,231.3,1.36,268.3,0.075,0.0006,0
2026-06-11 02:53:02,232.4,1.57,310.4,0.086,0.0006,0
2026-06-11 02:53:03,225.5,4.0,766.9,0.213,0.0016,0
2026-06-11 02:53:04,228.9,4.74,922.5,0.256,0.0019,0
2026-06-11 02:53:05,229.5,1.99,388.0,0.108,0.0008,0
2026-06-11 02:53:06,234.8,3.23,645.0,0.179,0.0013,0
2026-06-11 02:53:07,233.3,3.45,684.1,0.19,0.0014,0
2026-06-11 02:53:08,235.0,2.79,557.3,0.155,0.0012,0
2026-06-11 02:53:09,226.6,2.87,552.9,0.154,0.0012,0
2026-06-11 02:53:10,235.0,2.96,591.5,0.164,0.0012,0
2026-06-11 02:53:11,231.2,4.68,919.6,0.255,0.0019,0
2026-06-11 02:53:12,233.1,4.47,886.5,0.246,0.0018,0
2026-06-11 02:53:13,232.2,3.69,728.6,0.202,0.0015,0
2026-06-11 02:53:14,234.9,3.61,721.2,0.2,0.0015,0
2026-06-11 02:53:15,230.6,1.13,221.4,0.061,0.0005,0
2026-06-11 02:53:16,225.8,4.28,821.1,0.228,0.0017,0
2026-06-11 02:53:17,230.8,2.77,543.4,0.151,0.0011,0
2026-06-11 02:53:18,225.3,2.18,417.9,0.116,0.0009,0
2026-06-11 02:53:19,234.4,1.08,216.2,0.06,0.0005,0
2026-06-11 02:53:20,227.7,3.77,728.7,0.202,0.0015,0
2026-06-11 02:53:21,228.7,3.98,773.5,0.215,0.0016,0
2026-06-11 02:53:22,233.1,3.13,620.0,0.172,0.0013,0
2026-06-11 02:53:23,226.2,3.9,749.0,0.208,0.0016,0
2026-06-11 02:53:24,229.5,1.79,348.5,0.097,0.0007,0
2026-06-11 02:53:25,227.1,4.82,931.2,0.259,0.0019,0
2026-06-11 02:53:26,226.2,1.47,281.8,0.078,0.0006,0
2026-06-11 02:53:27,233.6,4.94,981.6,0.273,0.002,0
2026-06-11 02:53:28,233.8,2.98,591.4,0.164,0.0012,0
2026-06-11 02:53:29,227.8,1.92,372.2,0.103,0.0008,0
2026-06-11 02:53:30,228.1,1.31,254.8,0.071,0.0005,0
2026-06-11 02:53:31,226.3,0.96,184.8,0.051,0.0004,0
2026-06-11 02:53:32,234.3,3.38,672.4,0.187,0.0014,0
2026-06-11 02:53:33,225.5,1.4,269.1,0.075,0.0006,0
2026-06-11 02:53:34,231.0,1.84,361.6,0.1,0.0008,0
2026-06-11 02:53:35,231.8,1.33,262.5,0.073,0.0005,0
2026-06-11 02:53:36,227.9,2.47,477.6,0.133,0.001,0
2026-06-11 02:53:37,229.6,3.84,749.9,0.208,0.0016,0
2026-06-11 02:53:38,227.5,2.2,425.5,0.118,0.0009,0
2026-06-11 02:53:39,230.5,3.96,776.3,0.216,0.0016,0
2026-06-11 02:53:40,228.6,1.6,310.1,0.086,0.0006,0
2026-06-11 02:53:41,233.4,2.53,502.1,0.139,0.001,0
2026-06-11 02:53:42,231.4,2.74,539.1,0.15,0.0011,0
2026-06-11 02:53:43,225.7,3.27,626.7,0.174,0.0013,0
2026-06-11 02:53:44,229.2,2.3,448.5,0.125,0.0009,0
2026-06-11 02:53:45,226.4,2.72,523.7,0.145,0.0011,0
2026-06-11 02:53:46,229.7,3.76,734.3,0.204,0.0015,0
2026-06-11 02:53:47,229.0,3.0,584.6,0.162,0.0012,0
2026-06-11 02:53:48,231.7,2.44,480.7,0.134,0.001,0
2026-06-11 02:53:49,232.2,4.6,908.5,0.252,0.0019,0
2026-06-11 02:53:50,226.3,2.66,511.0,0.142,0.0011,0
2026-06-11 02:53:51,227.2,1.09,211.5,0.059,0.0004,0
2026-06-11 02:53:52,228.0,4.12,798.0,0.222,0.0017,0
2026-06-11 02:53:53,234.0,1.44,287.1,0.08,0.0006,0
2026-06-11 02:53:54,230.8,3.34,655.6,0.182,0.0014,0
2026-06-11 02:53:55,230.9,4.02,788.9,0.219,0.0016,0
2026-06-11 02:53:56,225.1,3.61,690.7,0.192,0.0014,0
2026-06-11 02:53:57,226.4,0.74,141.5,0.039,0.0003,0
2026-06-11 02:53:58,232.6,1.47,291.6,0.081,0.0006,0
2026-06-11 02:53:59,226.0,3.82,734.7,0.204,0.0015,0
2026-06-11 02:54:00,230.0,4.02,785.9,0.218,0.0016,0
